                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.6818,                 1.6845,                 1.7034,                0.27103,                0.39744,                 0.3124,                0.11592,                 2.3968,                 2.5512,                 2.4199,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.711,                 1.6605,                 1.7266,                0.40652,                0.37257,                 0.3341,                 0.1264,                 2.3655,                 2.3559,                 2.3039,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.6993,                 1.6554,                  1.753,                0.28788,                0.33476,                0.26604,                  0.091,                 2.4299,                 2.4535,                 2.3816,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.6693,                 1.6529,                 1.7203,                0.28801,                0.38509,                0.29017,                 0.0955,                 2.5123,                  2.444,                 2.4099,             0.00074282,             0.00074282,             0.00074282
                     58,                  1.679,                 1.6367,                 1.7158,                0.26945,                0.33571,                0.24058,                0.08313,                 2.4653,                 2.6236,                 2.5003,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.6387,                 1.5642,                 1.7149,                 0.2314,                0.36705,                0.24751,                0.08088,                 2.5032,                 2.4058,                 2.4723,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.6504,                 1.5795,                    1.7,                 0.2989,                0.35328,                0.25041,                0.08011,                 2.4117,                 2.5245,                 2.3466,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.6213,                  1.559,                 1.6764,                0.32984,                0.29034,                0.29073,                 0.1012,                   2.48,                 2.4356,                 2.4855,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.6252,                 1.5696,                 1.6919,                0.36848,                0.32858,                0.29075,                0.10268,                 2.4679,                 2.4356,                 2.4806,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.5912,                 1.5448,                  1.684,                0.26832,                0.38557,                0.30998,                0.11115,                 2.3852,                 2.3715,                 2.3508,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.5914,                 1.5026,                 1.6702,                0.33983,                0.32858,                0.26362,                0.08307,                 2.4349,                 2.4213,                 2.3798,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.5542,                 1.5033,                 1.6502,                0.38349,                0.34188,                0.30679,                0.11117,                 2.3525,                 2.4318,                 2.3689,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.5554,                 1.4597,                 1.6314,                0.30954,                0.32858,                0.27764,                  0.099,                 2.4434,                 2.4921,                 2.4287,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.548,                 1.4369,                 1.6517,                0.33526,                0.36705,                0.29894,                0.10479,                 2.4938,                 2.3622,                 2.5076,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.5665,                 1.4415,                 1.6418,                0.33895,                0.34324,                0.26889,                0.07946,                 2.5848,                 2.3886,                  2.529,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.4931,                 1.3711,                 1.5962,                0.36802,                0.37892,                0.34463,                0.12171,                 2.6069,                 2.1729,                 2.4844,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.5149,                  1.389,                 1.6085,                0.29066,                0.33632,                0.22564,                0.07541,                  2.658,                  2.442,                 2.6713,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.5231,                 1.3941,                 1.6137,                0.49789,                0.39791,                0.39864,                0.13984,                 2.4709,                 2.2815,                 2.3704,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.5121,                 1.3423,                 1.5862,                0.21841,                0.31673,                0.27299,                0.09577,                 2.5865,                 2.5685,                 2.5199,             0.00049527,             0.00049527,             0.00049527
                     73,                  1.432,                 1.3056,                 1.5487,                0.29857,                0.36771,                0.31282,                0.10561,                 2.5697,                   2.38,                 2.4939,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.4606,                 1.3516,                 1.5574,                0.38083,                0.27255,                0.27382,                0.09668,                 2.6437,                 2.4386,                 2.5913,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.4259,                 1.2584,                  1.533,                0.32699,                0.39079,                0.31532,                0.11401,                 2.5672,                 2.3602,                 2.4888,             0.00044576,             0.00044576,             0.00044576
